id,title,gender,origin_id,meaning,used_in,additional_info
53,Aiyana,Girl,24,N/A,English speaking countries,"Often claimed to be a Native American name meaning ""blossoming"" or ""eternal flower,"" Aiyana's origins are actually quite obscure. It may be a respelling of the Somali name Ayanna."
54,Aja,Both,24,Goat,English speaking countries,"Also commonly found as a surname. Pronounced like the continent Asia and sometimes used as a hommage to it. Fans of the band Steely Dan might be partial to this name, as it is a name of an album and song of theirs. <br />
<br />
Used interchangable for"
55,Ajay,Boy,39,Unconquered,English and Hindi speaking countries,Could serve as both a shortened form of the Sanskrit name Ajaya [in which case the first two given origins and meanings would be concerned] and as an extension of the initialism AJ.
56,Akash,Boy,39,"Open air, space",English and Hindi speaking countries,"Akash is used as a given name, derived from the Hindi/Sanskrit term ""Akasha"", meaning ""upper sky"" or ethereal space. The word ""Akash"" is an important element  in Hindu Philosophy. As per the philosophy, there are 5 basic elements that the human body compr"
57,Akasha,Both,39,"Open air, space",English and Hindi speaking countries,"Akasha is a Hindu or Sanskrit term meaning ""upper sky"" or ethereal space. It is a common name in India.  The word ""Akash"" comes from Akasha and is an important element  in Hindu Philosophy. As per the philosophy, there are 5 basic elements that the human"
58,Akeem,Boy,3,Wise or insightful,English speaking countries,
59,Akira,Both,26,Intelligent,English and Japanese speaking countries,"Akira is occasionally bestowed on girls but remains chiefly a male name.<br />
<br />
The name has been borne by film director Akira Kurosawa, former head of the Japanese Supreme Court - Akira Machida and manga artist Akira Toriyama. There is also a fil"
60,Al,Boy,15,N/A,English speaking countries,Nickname for Al- names.
61,Alaina,Girl,18,Rock,English speaking countries,"The feminine form of Alain, which is the French form of Alan."
62,Alan,Boy,18,Rock,English speaking countries,"The name Alan is of Celtic origin and was introduced to the English by the Breton followers of William the Conqueror. The exact meaning of the name is not entirely known although ""rock"" seems to be the most probable. There are many variations of this name"
63,Alana,Both,18,Rock,English and Hawaiian speaking countries,"The Latin feminine form of Alan, but a unisex name in Hawaiian.<br />
<br />
The name is borne by actress Alana de la Garza."
64,Alani,Both,22,Orange or orange tree,English and Hawaiian speaking countries,Most Hawaiian names are unisex. This name is also a word that refers to a type of moss and a type of seaweed.
65,Alanna,Girl,18,Rock,English and Hawaiian speaking countries,"Variant spelling of Alana, possibly influenced by the name 'Anna'. This spelling highlights the Gaelic pronunciation of Alana.<br />
<br />
The name is borne by actress Alanna Ubach and journalist Alanna Nash."
66,Alannah,Girl,18,Rock,English speaking countries,
67,Alayna,Girl,18,Rock,English speaking countries,"Alternative modern spelling to the legitimate name Alaina. Feminine to the French form of Alan, Alain."
68,Albert,Boy,17,Noble and famous,"English, French and Polish speaking countries","Albert was a fairly common name in England in the Middle Ages, but later fell out of favor and was not revived until the nineteenth century.  Albert of Saxe-Coburg and Gotha was the husband of Queen Victoria; Prince Albert was the main reason this name ca"
69,Alberto,Boy,20,"Noble + bright, famous","English, Italian, Portuguese and Spanish speaking countries","Spanish, Portuguese and Italian form of Albert. <br />
<br />
The name is borne by former President of Peru Alberto Fujimori, who is currently on trial for human rights abuses and charges of corruption. Other bearers include former US Attorney-General A"
70,Alden,Boy,15,Old friend,English speaking countries,"Transferred use of surname. John Alden was one of the passengers on the 'Mayflower', and his son, also called John, was accused during the Salem witch trials."
71,Aldo,Boy,20,Old; elder,"English, German, Italian and Spanish speaking countries","Male equivalent of Alda. From the Germanic element 'ald', 'old'."
72,Aleah,Girl,23,To ascend; to go up,English speaking countries,"A modern respelling of Aliyah, perhaps also inspired by the biblical Leah.<br />
<br />
The name first entered the US top 1000 in 1994, and since then has not risen higher than the 603rd most popular name in 2000."
73,Alec,Boy,21,Defending men,English speaking countries,"Diminutive of Alexander, originally popular in Scotland.<br />
<br />
Bearers include former British Prime Minister Alec Douglas-Home, and actors Alec Guinness and Alec Baldwin.<br />
<br />
Alec Stoke-d'Urberville is one of the main characters in Tho"
74,Alecia,Girl,17,Noble kind; of the noble sort,English speaking countries,
75,Aleena,Girl,17,Noble,English speaking countries,"Respelling of Alina.<br />
<br />
Aleena is the name of the mother of cartoon character Sonic the Hedgehog, and a race of aliens in the 'Star Wars' franchise."
76,Alejandra,Girl,21,Defender,English and Spanish speaking countries,"Spanish form of Alexandra.<br />
<br />
The name is borne by Mexican singer Alejandra Guzmán."
77,Alejandro,Boy,21,Defender,English and Spanish speaking countries,"Alejandro is the Spanish form of the name Alexander.<br />
<br />
Notable bearers include film director Alejandro Amenábar, Mexican film director Alejandro González Iñárritu, former Argentine president Alejandro Lanusse and Peruvian politician Alejandro"
78,Alek,Boy,21,Defending men,"Albanian, English, Greek and Russian speaking countries",
79,Aleksandar,Boy,21,Defending men,English and Slovak speaking countries,
80,Alena,Girl,18,Rock,English speaking countries,"Variant of Alaina or Alina. <br />
<br />
St Alena was a Belgian martyr."
81,Alesha,Girl,20,Noble kind; of the noble sort,English speaking countries,A modern variant of Alicia.
82,Alessandra,Girl,21,Defending men,English and Italian speaking countries,"Alessandra is the Italian form of Alexandra.<br />
<br />
The name is borne by Brazilian model Alessandra Ambrosio and right-wing Italian politician Alessandra Mussolini."
83,Alessandro,Boy,21,Defending men,English and Italian speaking countries,"Italian form of Alexander.<br />
<br />
Alessandro de' Medici was the first de' Medici to be the Duke of Florence, and was the grandson of Lorenzo the Magnificent. He was assassinated by his cousin Lorenzino de' Medici.<br />
<br />
Other bearers incl"
84,Alessia,Girl,21,Defender,English and Italian speaking countries,
85,Alex,Both,21,Defending men,English speaking countries,"Alex can be a nickname for any name beginning with Alex- (e.g. Alexander, Alexandra, Alexis), but is commonly used as a full name in its own right."
86,Alexa,Girl,21,Defending men,English speaking countries,"Short form of Alexandra or feminine form of Alexis.<br />
<br />
Alexa Vega is an American actress."
87,Alexander,Boy,21,Defending men,"Dutch, English, German, Hungarian and Slovak speaking countries","Anglicised version of the Greek name Alexandros. <br />
<br />
Alexander appears in the Bible as the one who helps Jesus bear the cross on the journey to Calvary. <br />
<br />
Alexander the Great was an ancient Macedon king. Greece was unified by his"
88,Alexandr,Boy,21,Defending men,Czech and English speaking countries,
89,Alexandra,Girl,21,Defending men,"Czech, Dutch, English, German, Greek, Hungarian, Portuguese, Romanian, Slovak and Russian speaking countries","There have been various Alexandras in royalty: Alexandra of Hesse was the wife of Nicholas II, the last Tsar of Russia, Alexandra of Denmark was the wife of British King Edward VIII and Princess Alexandra is a cousin of British Queen Elizabeth II. <br />"
90,Alexandre,Boy,21,Protector of men,English and French speaking countries,French form of the Greek name Alexandros.
91,Alexandrea,Girl,21,Defending men,English speaking countries,Respelling of Alexandria.
92,Alexandria,Girl,21,Defending men,English speaking countries,"Alexander the Great founded many cities in his name, the most famous of which is Alexandria in Egypt. The Library of Alexandria was the largest in the ancient world, and the Lighthouse of Alexandria was one of the Seven Wonders of the Ancient World."
93,Alexandro,Boy,21,Defending men,English and Spanish speaking countries,Spanish form of Alexander
94,Alexia,Girl,21,Defender,English and Greek speaking countries,"Feminine form of the Greek Alexios.<br />
<br />
Alexia is also the technical term for 'word blindness', a neurological disorder caused by a brain lesion resulting in inability to understand written language.<br />
<br />
Princess Alexia is third in l"
95,Alexis,Both,21,Defender,"English, French, German and Greek speaking countries","This traditionally male name is now also used for girls in the English-speaking world. In modern Greece it remains a male name, which might more literally be transliterated as 'Alexes': in the Greek alphabet it is written 'alpha-lambda-epsilon-xi-eta-sigm"
96,Alexus,Girl,21,Defender,English speaking countries,"A modern respelling of Alexis, presumably inspired by the Lexus luxury brand of automobiles."
97,Alfie,Both,15,N/A,English speaking countries,"Alfie is a nickname for names beginning with 'Alf-', most commonly Alfred. In the UK Alfie has attained considerable success as a stand-alone name, and was ranked as the 16th most popular boy's name in 2006. It has not made the US top 1000 since the 1960s"
98,Alfonso,Boy,20,Noble and ready/prompt; all struggle,English and Spanish speaking countries,"Spanish form of Alphonse, from Adalfuns which comes from the Germanic elements ""adal"", meaning ""all, noble"" and ""funs"" meaning ""ready, apt"".<br />
<br />
It was the name of 13 Kings of Castile and later Spain, and 5 Kings of Aragon. <br />
<br />
Alfo"
99,Alfred,Boy,15,Elf counsel,English speaking countries,"From the Old English elements 'ælf' (elf) and 'ræd' (counsel).<br />
<br />
Alfred the Great was King of the Anglo-Saxons in southern England in the 9th century. His reign was well-documented by a contemporary Welsh Monk named Asser, in his 'Life of Kin"
100,Alfredo,Boy,15,Elf counsel,"English, Italian, Portuguese and Spanish speaking countries","Portuguese, Spanish and Italian form of Alfred.<br />
<br />
The name has been borne by various South American Presidents: Alfredo Stroessner - President of Paraguay from 1954 to 89, Alfredo Zayas y Alfonso - President of Cuba from 1921 to 25, Alfredo P"
101,Ali,Boy,3,"Noble, sublime, elevated, exalted","African, Arabic and English speaking countries","Ali ibn Abi Talib was the first male convert to Islam, and is considered by Shia Muslims to be the first Imam. To Sunni Muslims, he is the fourth Rashidun or Rightly Guided Caliph. He married Muhammed's daughter Fatima.<br />
<br />
The name is borne by"
102,Alia,Girl,23,To ascend; to go up,Arabic and English speaking countries,"Variant of Aliya, either from the Hebrew or from the feminine form of the Arabic Ali.  The Swahili name Aliya mirrors the Arabic form.<br />
<br />
Queen Alia of Jordan was the third wife of King Hussein of Jordan, the ruler of Jordan from 1952 to 99. Q"
103,Alice,Girl,20,Noble kind; of the noble sort,"English, French and Swedish speaking countries","Alice was an extremely common name in medieval England, though it frequently appeared in the alternate form Alys.  It is found several times in Chaucer's ""Canterbury Tales,"" most famously as the name of the Wife of Bath.  The name fell into disuse for man"
104,Alicia,Girl,20,Noble kind; of the noble sort,"English, French and Spanish speaking countries","Alicia is the Spanish and modern Latinate form of Alice. <br />
<br />
Bearers include American singer-songwriter Alicia Keys, actresses Alicia Silverstone and Alicia Witt, and Australian tennis player Alicia Molik."
105,Alijah,Boy,18,N/A,English speaking countries,"Modern respelling of the name Elijah (""The Lord is my God""). Many times changing the spelling of the meaningful form - in this case, from Elijah to Alijah - negates the meaning of the name."
106,Alina,Girl,17,Noble,English speaking countries,"Of uncertain origin. It may be from an Arabic word for 'noble' or, in Scotland, a feminine form of Alistair.<br />
<br />
It could also be a form of Adelaide.<br />
<br />
The name is borne by ballerina Alina Cojocaru."
107,Alisa,Girl,17,Of noble kind,"English, Russian and Armenian speaking countries","Russian variant of Alicia or an Armenian name meaning 'gentle'. <br />
<br />
Alisa is also the name of a Russian rock band."
108,Alisha,Girl,20,Noble kind; of the noble sort,English speaking countries,Either an Indian name meaning 'protected by god' or a variant of Alicia.
109,Alison,Girl,20,Noble kind; of the noble sort,English and French speaking countries,"A Norman French diminutive of Alice. <br />
<br />
The name was particularly popular in Scotland from the 16th century, and was revived in England in the 20th century. In the USA, Alison experienced it's highest popularity in the mid 1980s when it broke"
110,Alissa,Girl,20,Noble kind; of the noble sort,English speaking countries,Variant of Alicia. Alyssa is a more popular spelling of this pronunciation.
111,Alivia,Girl,23,N/A,English speaking countries,This is a modern respelling of the name Olivia. There is no known meaning for this modern coinage.
112,Aliyah,Girl,23,To ascend; to go up,"Arabic, English and Hebrew speaking countries","Either from the Hebrew or from the feminine form of the Arabic Ali.<br />
<br />
Aliyah or Aliya is the name given to the immigration of the Jews to Israel. This especially occurred in the 20th century, and the state of Israel was established in 1948. I"
113,Aliza,Girl,23,Joyful; cheerful,English and Hebrew speaking countries,"Variant of Alitza, from the Hebrew meaning ""joy, happiness"".<br />
<br />
Aliza Olmert is an artist and the wife of Israeli Prime Minister Ehud Olmert."
114,Allen,Boy,18,Rock,English speaking countries,"Variant of Allen.<br />
<br />
Bearers include poet Allen Ginsberg, basketball player Allen Iverson and American musician Allen Toussaint.<br />
<br />
As a surname, notable bearers include film director Woody Allen, singer Lily Allen and musician and"
115,Allie,Girl,15,N/A,English speaking countries,"A nickname for any name beginning with ""Al,"" especially Allison and Alexandra.  Occasionally used as a name in its own right.<br />
<br />
There were approximately 80 names in the US top 1000 in 2006 that could take the nickname Allie, giving approximat"
116,Allison,Girl,20,Noble kind; of the noble sort,English and French speaking countries,"Variant of Alison, a Norman French diminutive of Alice.<br />
<br />
Since 1963 in the US, Allison has been more popular than Alison.<br />
<br />
The name is borne by news anchor Allison Stewart, Canadian singer Allison Crowe, and actresses Allison M"
117,Ally,Both,15,N/A,English speaking countries,"A nickname for any name beginning with ""Al,"" predominantly used for females.<br />
<br />
There were approximately 80 names in the US top 1000 in 2006 that could take the nickname Ally, giving approximately 70 000 girls born in 2006 who could be called"
118,Allyson,Girl,20,Noble kind; of the noble sort,English speaking countries,"A more modern respelling of Allison.<br />
<br />
Allyson Felix is an American athlete."
119,Alma,Girl,23,Maiden,"English, Hebrew and Spanish speaking countries","Could be explained as from the Hebrew, 'maiden', from the Germanic 'amal', 'effort', or from the Latin 'alma', 'nourishing'. <br />
<br />
The River Alma in Ukraine was the site of a battle during the Crimean War, which was won by British, French and Ot"
120,Alondra,Girl,21,Defender,English and Spanish speaking countries,"Shortened form of the Spanish feminine form of Alexander, Alejandra."
121,Alonso,Boy,20,Noble and ready/prompt; all struggle,"English, Italian and Spanish speaking countries",Short form of Alfonso
122,Alonzo,Boy,20,Noble and ready/prompt; all struggle,English speaking countries,English version of the Spanish Alonso.
123,Alphonso,Boy,20,Noble and ready/prompt; all struggle,English speaking countries,
124,Alton,Boy,15,Old town,English speaking countries,"From the Old English elements 'ald' (old) and 'tun' (town, village)."
125,Alvaro,Boy,20,Nobel guardian,English and Spanish speaking countries,"Popular name in the Middle ages, Alvaro was a 14th century saint who established a Dominican learning and education center. Occasionally also found as a surname, but in that case more often spelled Alvarro.<br />
<br />
Álvaro Uribe is the current Presi"
126,Alvin,Boy,15,Friend of elves,English speaking countries,"Probably from the Old English elements 'ælf' (elf) and 'wine' (friend).<br />
<br />
Alvin and the Chipmunks was a cartoon about a chipmunk band.<br />
<br />"
127,Alycia,Girl,20,Noble kind; of the noble sort,English speaking countries,
128,Alysa,Girl,20,Noble kind; of the noble sort,English speaking countries,
129,Alyse,Girl,17,Noble kind; of the noble sort,English speaking countries,Respelling of Alice.
130,Alysha,Girl,17,Noble kind; of the noble sort,English speaking countries,A variant of Alicia first used in the 1980s.
131,Alysia,Girl,17,Noble kind; of the noble sort,English speaking countries,A recently coined variant of Alicia.  Most often pronunced ah-LISS-ee-ah it is occasionally said ah-LEESH-yah or ah-LEES-ee-ah.
132,Alyson,Girl,17,Of noble kind,English speaking countries,A modern respelling of Alison.
133,Alyssa,Girl,20,Noble kind; of the noble sort,English speaking countries,"Alyssa might also be derived from the flower alyssum's name. <br />
<br />
Actress Alyssa Milano is a famous bearer."
134,Alyssia,Girl,17,Noble kind; of the noble sort,English speaking countries,Alyssia is also an alternate form of the name Alicia.
135,Aman,Boy,3,Security; protection,Arabic and English speaking countries,
136,Amanda,Both,27,She who must be loved,English speaking countries,"Amanda is the feminine gerundive of the Latin verb 'amo' (I love) and thus literally means 'she who must be loved'. In the US, Amanda was particularly popular in the 1980s. Amanda can also be a male name which is Sanskrit in origin. <br />
<br />
Notabl"
137,Amandeep,Boy,39,"Sharp witted; light, lamp of peace",English and Hindi speaking countries,
138,Amani,Both,3,Desires; aspirations; wishes,Arabic and English speaking countries,"This is an Arabic male name; but is also a prominent African name of Swahili origin. It is used as a unisex name there, and also for both boys and girls in English speaking countries, like the the U.S."
139,Amara,Both,21,Unfading; eternal,English and Hindi speaking countries,"The feminine Amara may be derived from the Greek amarantos (eternal, unfading).<br />
Alternatively, it may be from the Latin amarus (bitter, sour). <br />
<br />
As a male name it is Sanskrit in origin, and means 'immortal'. It also refers to the numb"
140,Amare,Boy,2,Handsome; good looking,African and English speaking countries,Amaré Stoudemire is an American basketball player.
141,Amari,Both,3,N/A,English speaking countries,"Amari is a recent coinage that appears to possibly come from many different avenues, although it has no true meaning.  It is closely related in sound to the name Imari which  is likely a variation on the popular Imani. It could also be related somehow to"
142,Amaya,Girl,42,High place,English and Spanish speaking countries,The name of a heroine of traditional Basque stories of the knight Teodosio de Goni.
143,Amber,Girl,15,Amber,English speaking countries,"Amber is a fossilized tree resin commonly found on the shores of the Baltic and North Seas.  Since ancient times, its primary use has been decorative. The Amber Road was the trade route from the Baltic to Italy through which amber was traded.<br />
<br /"
144,Amberly,Girl,15,Amber,English speaking countries,Modern name combining Amber with Lee.
145,Amelia,Girl,20,Work; effort; strain,English and German speaking countries,"Amelia is actually derived from two names: ""Emilia,"" a Latin name meaning ""rival,"" and ""Amalia,"" a Germanic name meaning ""work"" or ""labor.""  Henry Fielding popularized this name with his novel ""Amelia"" in 1751.  More recently, the name took center stage i"
146,America,Girl,20,Ever-powerful in battle,English speaking countries,"Spanish of the masculine Italian name Amerigo. North and South America are named after Amerigo Vespucci, who explored the coast of South America at the turn of the 16th century.<br />
<br />
The name is also borne by actress America Ferrera."
147,Ami,Both,23,My people,"English, Hebrew and Japanese speaking countries","Ami is a Hebrew male name meaning ""my nation, my people"".<br />
<br />
It is also a Japanese female name that may be written with the characters for ""Asia"" (a) and ""beauty"" (mi)<br />
<br />
'Ami' is sometimes used as a variant spelling of Amy.<br />"
148,Amie,Girl,17,Loved,English speaking countries,"Amie is the French word for a female friend pronounced ""ah MEE"".<br />"
149,Amina,Girl,2,"Peaceful, secure","African, Arabic, English and Swahili speaking countries","Aminah or Amina was the name of the mother of the Muslim prophet Muhammed, founder of Islam.<br />
<br />
It was also the name of a Nigerian princess of the royal family of Zazzau (now known as Zaria) in the 16th century. She is famous for her military"
150,Amir,Boy,23,Treetop; sheaf,"Arabic, English and Hebrew speaking countries","Amir or emir is the name given to a prince of an Arabic state, though it also refers to a military leader.<br />
<br />
Amir al-Muminin ('commander of the faithful') is a name used to refer to the Muslim caliphs."
151,Amira,Girl,3,Princess; prosperous,"African, Arabic, English, Hebrew and Swahili speaking countries","As a Hebrew name, Amira may come from the Hebrew meaning ""speech"" or ""treetop"" if written with the letter Aleph, or ""sheaf of corn"" if written with the letter Ayin. It is also the feminine form of the Arabic name Amir."
152,Amirah,Girl,3,Princess; prosperous,"African, Arabic and English speaking countries","Variant of Amira, which may come from the Hebrew meaning ""speech"" or ""treetop"" if written with the letter Aleph, or ""sheaf of corn"" if written with the letter Ayin. It is also a feminine form of the Arabic name Amir."
153,Amisha,Girl,24,Truthful,English speaking countries,Feminine form of Amish.
154,Amiya,Both,24,Delight,English and Hindi speaking countries,"Though Amiya is also a male name, it entered the US top 1000 for girls in 2000."
155,Amiyah,Girl,24,Delight,English and Hindi speaking countries,Amiyah entered the US Top 1000 for the first time in 2003.
156,Amos,Boy,23,Encumbered; burdened,English speaking countries,"Amos was minor prophet who condemned idol worship and pagan ritual and spurned spiritual reform in Isreal. An evil priest, Amaziah, accused him of treason to Jeraboam II due to his unwelcome message.  Amos was a contemporary of Isaiah, Micah and Hosea.<br"
